|
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1004.0     85   23.6   22.2     92  17.10     90      2  296.4  345.9  299.4
 1000.0    119   25.2   21.6     80  16.54     30      5  298.4  346.6  301.3
  994.0    172   27.2   19.2     62  14.30     28      5  300.9  343.1  303.4
  978.0    316   26.4   20.4     70  15.69     24      5  301.5  347.9  304.3
  925.0    806   23.6   16.6     65  13.01     10      6  303.4  342.3  305.8
  913.5    914   22.8   16.0     65  12.66    345      7  303.7  341.6  306.0
  851.5   1524   18.5   12.5     68  10.80    325     10  305.4  338.0  307.4
  850.0   1539   18.4   12.4     68  10.75    325     10  305.4  337.9  307.4
  792.0   2134   13.9    8.9     72   9.14    305     10  306.9  334.8  308.6
  763.8   2438   11.7    7.2     74   8.39    290     11  307.6  333.4  309.2
  700.0   3172    6.2    2.9     79   6.78    270     13  309.3  330.4  310.6
  684.7   3353    4.7    2.7     87   6.82    265     13  309.6  330.9  310.9
  680.0   3409    4.2    2.6     89   6.83    265     13  309.7  331.0  310.9
  637.0   3939    1.2   -4.8     64   4.22    265     11  312.1  325.7  312.9
  620.0   4157   -0.3   -4.9     71   4.31    265     10  312.8  326.7  313.6
  611.5   4267   -0.1  -11.9     41   2.53    265     10  314.3  322.7  314.8
  609.0   4300    0.0  -14.0     34   2.14    258     11  314.7  321.9  315.1
  605.0   4353   -0.3  -12.3     40   2.47    248     13  315.0  323.3  315.4
  599.0   4433    0.4  -25.6     12   0.80    232     15  316.7  319.6  316.8
  588.7   4572   -0.1  -32.7      7   0.42    205     19  317.6  319.2  317.7
  574.0   4774   -0.9  -42.9      2   0.15    213     21  319.0  319.6  319.1
  545.2   5182   -3.5  -34.2      7   0.39    230     25  320.7  322.1  320.7
  541.0   5244   -3.9  -32.9      8   0.45    229     25  320.9  322.6  321.0
  514.0   5645   -7.3  -23.3     27   1.15    220     28  321.5  325.6  321.8
  500.0   5860   -8.9  -25.9     24   0.93    215     30  322.1  325.5  322.3
  484.6   6096  -10.8  -27.2     25   0.85    210     29  322.7  325.8  322.9
  412.1   7315  -20.5  -34.0     29   0.52    255     31  325.5  327.4  325.6
  400.0   7540  -22.3  -35.3     30   0.48    255     38  325.9  327.7  326.0
  391.0   7707  -24.1  -36.1     32   0.45    253     38  325.7  327.4  325.8
  388.0   7763  -24.5  -36.5     32   0.44    252     39  325.9  327.6  326.0
  376.0   7992  -25.1  -50.1      8   0.10    248     39  328.0  328.5  328.1
  363.8   8230  -26.7  -50.9      8   0.10    245     40  329.0  329.4  329.0
  346.0   8593  -29.1  -52.1      9   0.09    242     48  330.5  330.9  330.5
  334.2   8839  -30.8  -54.9      8   0.07    240     54  331.4  331.7  331.5
  314.0   9281  -33.9  -59.9      5   0.04    237     48  333.1  333.3  333.1
  301.0   9577  -36.1  -44.1     44   0.25    235     44  334.1  335.1  334.1
  300.0   9600  -36.3  -46.3     35   0.20    235     44  334.1  334.9  334.1
  293.4   9754  -37.6  -52.4     20   0.10    235     44  334.4  334.8  334.4
  289.0   9858  -38.5  -56.5     13   0.06    234     45  334.5  334.8  334.6
  281.0  10051  -40.1  -46.1     53   0.22    232     47  334.9  335.8  335.0
  268.0  10373  -42.5  -47.0     61   0.21    229     50  336.0  336.9  336.1
  250.0  10840  -46.1  -57.1     28   0.07    225     54  337.4  337.7  337.4
  245.0  10973  -47.2  -59.3     24   0.05    230     55  337.7  337.9  337.7
  241.0  11082  -48.1  -61.1     21   0.04    229     55  337.9  338.1  337.9
  238.0  11164  -48.7  -63.7     16   0.03    228     54  338.2  338.4  338.3
  223.2  11582  -50.9  -68.7     10   0.02    225     53  341.1  341.2  341.1
  212.0  11915  -52.7  -72.7      7   0.01    239     53  343.4  343.4  343.4
  203.1  12192  -53.1  -75.4      5   0.01    250     53  346.9  347.0  346.9
  200.0  12290  -53.3  -76.3      4   0.01    245     51  348.2  348.2  348.2
  195.0  12453  -53.3  -75.3      5   0.01    242     50  350.7  350.8  350.7
  184.5  12802  -54.9  -77.7      4   0.01    235     47  353.8  353.8  353.8
  150.0  14110  -60.7  -86.7      2   0.00    245     32  365.3  365.3  365.3
  144.8  14326  -61.5  -87.4      2   0.00    255     30  367.5  367.5  367.5
  137.8  14630  -62.7  -88.3      2   0.00    250     35  370.6  370.6  370.6
  124.8  15240  -65.1  -90.3      2   0.00    260     39  376.9  376.9  376.9
  121.0  15432  -65.9  -90.9      2   0.00    238     33  378.9  378.9  378.9
  118.8  15545  -66.8  -91.2      2   0.00    225     30  379.3  379.3  379.3
  110.0  16005  -70.5  -92.5      3   0.00    244     21  380.8  380.8  380.8
  107.3  16154  -70.8  -92.5      3   0.00    250     18  382.9  382.9  382.9
  100.0  16570  -71.7  -92.7      3   0.00    275     26  388.9  388.9  388.9
   96.7  16764  -72.2  -92.9      3   0.00    275     26  391.7  391.7  391.7
   95.0  16869  -72.5  -93.0      3   0.00    255     17  393.1  393.1  393.1
   93.0  16993  -72.8  -93.0      3   0.00    275     10  394.9  394.9  394.9
   91.0  17120  -73.1  -93.2      3   0.00    260     10  396.7  396.7  396.7
   86.0  17450  -74.0  -93.4      4   0.00    285     10  401.4  401.4  401.4
   75.0  18248  -76.1  -94.1      5   0.00    140      3  413.0  413.0  413.0
   74.0  18326  -75.3  -93.5      4   0.00      0      0  416.3  416.3  416.3
   70.0  18650  -72.1  -91.1      4   0.00    305      4  429.8  429.8  429.8
   65.1  19081  -68.7  -90.7      3   0.00    266      6  446.2  446.2  446.2
   56.0  19988  -67.4  -92.9      2   0.00    185     10  468.7  468.7  468.7
   55.0  20096  -67.3  -93.1      2   0.00    140     13  471.5  471.5  471.5
   53.0  20319  -67.0  -93.7      1   0.00    105     11  477.2  477.2  477.2
   50.0  20670  -66.5  -94.5      1   0.00    100      9  486.4  486.4  486.4
   49.6  20719  -66.3  -94.3      1   0.00    103      9  487.9  488.0  487.9
   48.0  20923  -65.1  -93.5      1   0.00    115     10  495.5  495.5  495.5
   46.0  21187  -63.4  -92.5      1   0.00     80     11  505.4  505.5  505.4
   42.0  21753  -60.0  -90.3      1   0.00     75     17  527.3  527.3  527.3
   37.3  22492  -55.5  -87.5      1   0.01     94     21  557.0  557.0  557.0
   37.0  22543  -55.8  -87.8      1   0.00     95     21  557.6  557.7  557.6
   36.0  22717  -56.6  -88.6      1   0.00     90     19  559.8  559.8  559.8
   35.9  22735  -56.7  -88.7      1   0.00     91     19  560.0  560.0  560.0
   35.0  22898  -55.9  -88.1      1   0.00    105     18  566.3  566.3  566.3
   34.0  23085  -54.9  -87.5      1   0.01     75     10  573.5  573.6  573.5
   33.0  23277  -53.9  -86.8      1   0.01    115      3  581.1  581.2  581.1
   32.0  23475  -52.9  -86.1      1   0.01    125     10  589.0  589.0  589.0
   31.0  23679  -51.8  -85.4      1   0.01    115     12  597.2  597.3  597.2
   30.0  23890  -50.7  -84.7      1   0.01    125     13  605.8  605.9  605.8
   29.7  23955  -50.5  -84.5      1   0.01    128     14  608.1  608.2  608.1
   29.0  24110  -50.5  -84.5      1   0.01    135     17  612.3  612.4  612.3
   26.3  24745  -50.5  -84.5      1   0.01    132     13  629.6  629.7  629.6
   25.0  25073  -50.6  -84.6      1   0.01    130     11  638.5  638.6  638.5
   23.0  25614  -50.8  -84.8      1   0.01    140      4  653.3  653.5  653.3
   22.0  25902  -50.9  -84.9      1   0.01     20     11  661.4  661.5  661.4
   21.0  26204  -51.0  -85.0      1   0.01    335     10  669.9  670.1  669.9
   20.0  26520  -51.1  -85.1      1   0.01    305     10  679.0  679.1  679.0
   19.0  26854  -50.9  -84.9      1   0.02    280     13  689.5  689.7  689.5
   18.8  26922  -50.9  -84.9      1   0.02                691.7  691.9  691.7
|
