|
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1007.0     85   22.2   22.0     99  16.84     50      3  294.8  343.1  297.7
 1000.0    152   22.4   20.8     91  15.73    150      4  295.6  340.9  298.3
  925.0    829   19.2   18.2     94  14.43    260      9  298.9  341.2  301.5
  903.0   1036   17.8   16.6     93  13.33    274      9  299.6  338.7  301.9
  850.0   1554   16.4    9.4     63   8.78    310      9  303.3  329.8  304.9
  838.0   1675   15.8    8.8     63   8.55    309     10  303.9  329.8  305.5
  827.0   1788   16.0    7.0     55   7.65    308     11  305.3  328.6  306.7
  765.0   2445   10.6    6.1     74   7.78    302     16  306.3  330.1  307.8
  700.0   3181    6.6    2.8     77   6.73    295     21  309.8  330.8  311.0
  605.0   4366   -1.1   -3.5     84   4.91    241     18  314.1  329.9  315.0
  587.0   4607   -2.5   -6.6     73   4.00    230     17  315.1  328.2  315.9
  571.0   4827   -1.7  -17.7     28   1.68    219     16  318.6  324.4  318.9
  553.0   5083   -1.5  -42.5      3   0.16    207     15  321.8  322.4  321.8
  508.0   5755   -5.1  -24.1     21   1.08    176     13  325.3  329.2  325.5
  500.0   5880   -5.7  -26.7     17   0.87    170     13  326.0  329.2  326.2
  465.0   6442   -9.7  -44.7      4   0.15    183     18  327.9  328.5  327.9
  446.0   6761  -12.3  -47.3      4   0.12    190     21  328.5  329.0  328.6
  400.0   7580  -18.7  -40.7     13   0.27    210     28  330.6  331.7  330.6
  381.0   7940  -22.1  -42.1     15   0.25    220     27  330.8  331.8  330.8
  343.0   8702  -29.5  -34.4     62   0.61    242     25  330.8  333.1  330.9
  339.0   8785  -29.7  -33.2     72   0.69    245     25  331.6  334.3  331.8
  327.0   9042  -29.9  -34.3     65   0.64    252     24  334.8  337.3  334.9
  300.0   9650  -34.9  -39.3     64   0.42    270     22  336.1  337.8  336.1
  250.0  10900  -45.3  -49.6     62   0.17    265     44  338.6  339.3  338.6
  229.0  11475  -50.3  -53.8     66   0.11    265     50  339.6  340.0  339.6
  226.0  11561  -50.9  -53.5     74   0.12    265     51  339.9  340.4  339.9
  200.0  12340  -57.3  -63.3     46   0.04    265     60  341.9  342.0  341.9
  173.0  13243  -64.3  -72.3     33   0.01    270     61  344.8  344.8  344.8
  170.0  13352  -63.5  -73.5     25   0.01    265     63  347.8  347.9  347.8
  150.0  14130  -57.9  -81.9      3   0.00    220     40  370.1  370.1  370.1
  123.0  15359  -66.9  -89.9      3   0.00    208     36  375.3  375.3  375.3
  104.0  16366  -70.7  -91.7      3   0.00    197     32  386.5  386.5  386.5
  101.0  16541  -70.1  -91.1      3   0.00    196     31  390.9  390.9  390.9
  100.0  16600  -70.3  -91.3      3   0.00    195     31  391.6  391.6  391.6
   92.3  17076  -70.3  -91.3      3   0.00    189     20  400.7  400.7  400.7
   88.0  17355  -72.5  -92.6      3   0.00    185     13  401.9  401.9  401.9
   82.7  17720  -75.3  -94.3      4   0.00    235      9  403.3  403.3  403.3
   81.0  17840  -75.2  -94.0      4   0.00    240     10  405.8  405.9  405.8
   79.0  17985  -75.1  -93.7      4   0.00    290      6  408.9  408.9  408.9
   76.0  18209  -75.0  -93.3      4   0.00    285     12  413.8  413.8  413.8
   74.0  18364  -74.9  -92.9      5   0.00    325     13  417.1  417.1  417.1
   73.8  18380  -74.9  -92.9      5   0.00    324     13  417.5  417.5  417.5
   72.0  18524  -72.3  -91.1      4   0.00    310     13  426.0  426.0  426.0
   71.6  18557  -71.7  -90.7      4   0.00    312     12  427.9  427.9  427.9
   71.0  18606  -71.5  -90.5      4   0.00    315     11  429.2  429.2  429.2
   70.0  18690  -71.3  -90.3      5   0.00    310     13  431.5  431.5  431.5
   68.0  18863  -70.7  -90.3      4   0.00    290     17  436.4  436.5  436.4
   66.0  19040  -70.0  -90.3      4   0.00    275     11  441.6  441.6  441.6
   56.0  20019  -66.5  -90.5      2   0.00    144      3  470.9  470.9  470.9
   55.0  20127  -66.8  -91.0      2   0.00    130      2  472.7  472.7  472.7
   52.2  20441  -67.5  -92.5      2   0.00    190      3  478.1  478.1  478.1
   50.0  20700  -66.3  -92.3      2   0.00    240      4  486.8  486.8  486.8
   45.0  21342  -65.2  -93.0      1   0.00    105     10  504.4  504.4  504.4
   43.0  21619  -64.7  -93.4      1   0.00    100     14  512.2  512.2  512.2
   42.2  21733  -64.5  -93.5      1   0.00     88     12  515.5  515.5  515.5
   42.0  21763  -64.3  -93.4      1   0.00     85     12  516.6  516.6  516.6
   40.0  22067  -62.5  -92.3      1   0.00    120     10  528.4  528.4  528.4
   38.0  22387  -60.6  -91.1      1   0.00     85     15  541.0  541.0  541.0
   34.0  23081  -56.5  -88.5      1   0.00    120     13  569.3  569.3  569.3
   31.0  23671  -55.0  -87.0      1   0.01    125     11  588.5  588.6  588.5
   30.0  23880  -54.5  -86.5      1   0.01    160     17  595.5  595.5  595.5
   28.0  24322  -54.2  -86.6      1   0.01    140     21  608.3  608.3  608.3
   27.0  24556  -54.0  -86.6      1   0.01    120     14  615.1  615.2  615.1
   26.0  24798  -53.8  -86.7      1   0.01    145     10  622.3  622.4  622.3
   25.5  24922  -53.7  -86.7      1   0.01    143     10  626.0  626.1  626.0
   24.0  25311  -54.3  -86.7      1   0.01    135     10  635.1  635.2  635.1
   23.2  25528  -54.7  -86.7      1   0.01     86      7  640.3  640.4  640.3
   22.0  25872  -52.6  -85.3      1   0.01     10      3  656.2  656.4  656.2
   21.0  26174  -50.8  -84.2      1   0.02    330     12  670.5  670.6  670.5
   20.0  26490  -48.9  -82.9      1   0.02    255     14  685.7  686.0  685.7
   19.8  26556  -48.7  -82.7      1   0.02                688.3  688.5  688.3
|
